"","BLC_ID","BLC_NAME","K2_ID","K2_NAME","K3_ID","K3_NAME","K4_ID","K4_NAME","SPS2015","SPS2016","SPS2017","SPS2018","SPS2019"
"1","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",700,"Davki na dohodek in dobièek",7000,"Dohodnina",899429305.7,977454322.9,998142991.2,1008932013,1224245222
"2","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",700,"Davki na dohodek in dobièek",7001,"Davek od dohodkov pravnih oseb",427400000,558786999.9,578109397.2,709895392.1,857618712.1
"3","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",700,"Davki na dohodek in dobièek",7002,"Drugi davki na dohodek in dobièek",3393815.92,2138798,2138798,3863935,5863497
"4","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",701,"Prispevki za socialno varnost",7010,"Prispevki zaposlenih",26618458.65,32952733.65,34007221.13,34878052.89,38288187.61
"5","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",701,"Prispevki za socialno varnost",7011,"Prispevki delodajalcev",20633991.26,23309360.23,24055259.76,25975141.02,28851667.86
"6","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",701,"Prispevki za socialno varnost",7012,"Prispevki samozaposlenih",3117229.9,3256645.1,3360857.74,3648804.917,3988782.46
"7","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",701,"Prispevki za socialno varnost",7013,"Ostali prispevki za socialno varnost",1921779.51,1370511.81,1414368.19,1302353,1295752
"8","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",702,"Davki na plaèilno listo in delovno silo",7021,"Posebni davek na doloèene prejemke",23619959.69,19041136,19041136,20323471,22763454.45
"9","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",703,"Davki na premoženje",7030,"Davki na nepremiènine",192400000,NA,NA,0,NA
"10","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",703,"Davki na premoženje",7031,"Davki na premiènine",230000,184967,184967,196835,31560
"11","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",703,"Davki na premoženje",7033,"Davki na promet nepremiènin in na finanèno premoženje",1820000,80000,80000,73795,61749
"12","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",704,"Domaèi davki na blago in storitve",7040,"Davek na dodano vrednost",3171019398,3371986295,3506428497,3581402093,3759605090
"13","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",704,"Domaèi davki na blago in storitve",7041,"Drugi davki na blago in storitve",112426129,123821733.1,123821733.1,132608055.7,140885121.4
"14","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",704,"Domaèi davki na blago in storitve",7042,"Trošarine (akcize)",1576485128,1517084063,1526383797,1528990111,1592858909
"15","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",704,"Domaèi davki na blago in storitve",7044,"Davki na posebne storitve",167459959.5,209910613.2,212849361.8,210770206.7,219622821.7
"16","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",704,"Domaèi davki na blago in storitve",7046,"Letna dajatev za uporabo vozil v cestnem prometu",139631954.6,161142701,163188699,153068944.1,158087327.4
"17","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",704,"Domaèi davki na blago in storitve",7047,"Drugi davki na uporabo blaga in storitev",44393143.04,45857091.95,47470916.24,50151067.04,47386794.24
"18","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",704,"Domaèi davki na blago in storitve",7048,"Davki od prometa motornih vozil",26695482,31954296.53,32401656.68,28584377.98,37073881.38
"19","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",705,"Davki na mednarodno trgovino in transakcije",7050,"Carine",84461904.66,88465413.89,94038734.97,95275490.39,89624389.27
"20","A","Bilanca prihodkov in odhodkov",70,"DAVÈNI PRIHODKI",706,"Drugi davki",7060,"Drugi davki",1.5e+07,NA,NA,NA,NA
"21","A","Bilanca prihodkov in odhodkov",71,"NEDAVÈNI PRIHODKI",710,"Udeležba na dobièku in dohodki od premoženja",7100,"Prihodki od udeležbe na dobièku in dividend ter presežkov prihodkov nad odhodki",9e+07,110623060,98073360,112527683.6,231338375
"22","A","Bilanca prihodkov in odhodkov",71,"NEDAVÈNI PRIHODKI",710,"Udeležba na dobièku in dohodki od premoženja",7102,"Prihodki od obresti",4500000,12502026.95,8300000,11505000,11335610
"23","A","Bilanca prihodkov in odhodkov",71,"NEDAVÈNI PRIHODKI",710,"Udeležba na dobièku in dohodki od premoženja",7103,"Prihodki od premoženja",105639617,102222063.7,97477769.31,96729238.32,94961200.44
"24","A","Bilanca prihodkov in odhodkov",71,"NEDAVÈNI PRIHODKI",711,"Takse in pristojbine",7110,"Sodne takse",45404702,37051936.99,37570664.11,35649858.32,33922607.1
"25","A","Bilanca prihodkov in odhodkov",71,"NEDAVÈNI PRIHODKI",711,"Takse in pristojbine",7111,"Upravne takse in pristojbine",34714457.97,31655020.77,32698191.06,31181550.31,35889330.41
"26","A","Bilanca prihodkov in odhodkov",71,"NEDAVÈNI PRIHODKI",712,"Globe in druge denarne kazni",7120,"Globe in druge denarne kazni",69882228.83,74918090.95,75966944.23,72592800.02,87195405.84
"27","A","Bilanca prihodkov in odhodkov",71,"NEDAVÈNI PRIHODKI",713,"Prihodki od prodaje blaga in storitev",7130,"Prihodki od prodaje blaga in storitev",9478516.52,8747197.36,8869658.12,9533676.89,9232772.76
"28","A","Bilanca prihodkov in odhodkov",71,"NEDAVÈNI PRIHODKI",714,"Drugi nedavèni prihodki",7141,"Drugi nedavèni prihodki",107303503.4,101094912.9,96929667.03,97886352.33,73685880.89
