"","BLC_ID","BLC_NAME","K2_ID","K2_NAME","K3_ID","K3_NAME","K4_ID","K4_NAME","SPS2015","SPS2016","SPS2017","SPS2018","SPS2019"
"30","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",409,"Rezerve",4093,"Sredstva za posebne namene",44712480.01,105720000,103900000,102849884,103387256
"31","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",410,"Subvencije",4100,"Subvencije javnim podjetjem",47695500,91573340.5,140467027.5,60306306,50050009
"32","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",410,"Subvencije",4102,"Subvencije privatnim podjetjem in zasebnikom",222338234.2,402797805.1,343728375.2,422586036.1,476786783.3
"33","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",411,"Transferi posameznikom in gospodinjstvom",4110,"Transferi nezaposlenim",256033992.4,178254815.1,167224570.1,146820916,150426879.1
"34","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",411,"Transferi posameznikom in gospodinjstvom",4111,"Družinski prejemki in starševska nadomestila",527855448.2,502549551,500549551,495747650,492353650
"35","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",411,"Transferi posameznikom in gospodinjstvom",4112,"Transferi za zagotavljanje socialne varnosti",223993028,247540781.6,223652038,224892224,219195200.5
"36","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",411,"Transferi posameznikom in gospodinjstvom",4113,"Transferi vojnim invalidom, veteranom in žrtvam vojnega nasilja",62736000,49745014,34482000,56994000,54975278
"37","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",411,"Transferi posameznikom in gospodinjstvom",4117,"Štipendije",73793813.46,74285174,74186474,76360181.55,73729511.22
"38","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",411,"Transferi posameznikom in gospodinjstvom",4119,"Drugi transferi posameznikom",157450285.3,167920352.8,171753602,167115625.7,178072664
"39","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",412,"Transferi nepridobitnim organizacijam in ustanovam",4120,"Tekoèi transferi nepridobitnim organizacijam in ustanovam",71831417.04,88099096.91,96808416.39,156179629.7,155159323.1
"40","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",413,"Drugi tekoèi domaèi transferi",4130,"Tekoèi transferi obèinam",17103269.07,54745962.09,15325499,24500577.43,15689175
"41","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",413,"Drugi tekoèi domaèi transferi",4131,"Tekoèi transferi v sklade socialnega zavarovanja",1525067719,1438268740,1457980607,1339522121,1351064156
"42","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",413,"Drugi tekoèi domaèi transferi",4132,"Tekoèi transferi v javne sklade",41230769.1,18381158.72,16623440.01,12321181.22,11525207.06
"43","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",413,"Drugi tekoèi domaèi transferi",4133,"Tekoèi transferi v javne zavode",1631065995,1722067672,1730128683,1802272331,1923687382
"44","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",413,"Drugi tekoèi domaèi transferi",4134,"Tekoèi transferi v državni proraèun",842592,665941.96,652025.6,638924,629642
"45","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",413,"Drugi tekoèi domaèi transferi",4135,"Tekoèa plaèila drugim izvajalcem javnih služb, ki niso posredni proraèunski uporabniki",71646786.54,92781601.48,99621139,94691403.33,103405564
"46","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",413,"Drugi tekoèi domaèi transferi",4136,"Tekoèi transferi v javne agencije",32503631.75,36752898,40745733,50970901.77,55572393.73
"47","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",414,"Tekoèi transferi v tujino",4140,"Tekoèi transferi mednarodnim institucijam",13917845,26611545,25424296,23706808.04,35207504
"48","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",414,"Tekoèi transferi v tujino",4141,"Tekoèi transferi tujim vladam in vladnim institucijam",7041027,40000,10000,0,NA
"49","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",414,"Tekoèi transferi v tujino",4142,"Tekoèi transferi neprofitnim organizacijam v tujini",1469418,7788946,7843737,7855983,8225566
"50","A","Bilanca prihodkov in odhodkov",41,"TEKOÈI TRANSFERI",414,"Tekoèi transferi v tujino",4143,"Drugi tekoèi transferi v tujino",7397824.9,1179314,1149314,1192507.95,1133880.72
